parents,clones,t1,t2,t3
547,547,7909,40461,98703
548,548,7899,40774,85584
549,549,7880,26939,45706
550,550,7871,34587,57487
551,551,7871,34076,92054
552,552,7871,25301,70493
553,553,7852,28484,52988
554,554,7842,28734,57883
555,555,7842,29976,56034
556,556,7833,27732,63693
557,557,7833,33732,73285
558,558,7823,29110,74454
559,559,7823,22641,31757
560,560,7813,21984,49771
561,561,7813,24060,46697
562,562,7804,37185,61703
563,563,7794,24968,53846
564,564,7766,35036,75926
565,565,7756,36048,65230
566,566,7756,39324,72926
567,567,7746,29527,46385
568,568,7746,31593,62976
569,569,7727,37373,89828
570,570,7718,26240,28889
571,571,7699,26470,44131
572,572,7680,31895,67013
573,573,7670,35203,70767
574,574,7670,42746,98062
575,575,7670,36330,74228
576,576,7660,28411,41698
577,577,7660,36789,80623
578,578,7641,33001,64532
579,579,7641,31593,69040
580,580,7632,22443,45037
581,581,7632,20742,42188
582,582,7613,28828,67918
583,583,7603,19573,23325
584,584,7603,51396,125725
585,585,7593,30529,63391
586,586,7574,26647,57336
587,587,7546,34493,63947
588,588,7517,27680,44952
589,589,7498,35652,72172
590,590,7498,33262,82066
591,591,7498,28411,39793
592,592,7488,20721,39745
593,593,7440,30883,67116
594,594,7421,16235,27597
595,595,7412,21890,36558
596,596,7383,32219,58845
597,597,7374,23496,46282
598,598,7364,39533,71606
599,599,7364,21733,46348
600,600,7354,26042,45395
601,601,7345,29965,72992
602,602,7335,29224,52054
603,603,7297,29715,57138
604,604,7287,24415,53516
605,605,7287,25969,46857
606,606,7268,24686,48828
607,607,7259,18353,39151
608,608,7259,28859,48253
609,609,7259,31113,78001
610,610,7259,23820,55525
611,611,7249,27701,58911
612,612,7240,23444,49753
613,613,7240,25281,39019
614,614,7230,23027,38604
615,615,7220,18728,50177
616,616,7182,29809,54384
617,617,7173,29110,57138
618,618,7173,31666,82264
619,619,7154,25823,49498
620,620,7154,33586,58609
621,621,7134,18165,31115
622,622,7125,29986,58486
623,623,7067,25166,40453
624,624,7067,46836,91384
625,625,7048,18353,36378
626,626,7048,35578,74134
627,627,7039,28776,56874
628,628,7039,20408,43018
629,629,7020,22495,56921
630,630,6991,24248,45593
631,631,6991,28327,63032
632,632,6981,19459,35558
633,633,6962,13178,30927
634,634,6943,21358,36378
635,635,6943,28525,48187
636,636,6934,21253,33983
637,637,6905,24832,37331
638,638,6895,28066,56176
639,639,6895,25823,44376
640,640,6867,22140,41500
641,641,6838,38782,77803
642,642,6838,23027,40689
643,643,6828,24206,63127
644,644,6819,27743,59288
645,645,6819,28984,60071
646,646,6809,20658,33907
647,647,6790,39387,85225
648,648,6761,24561,47178
649,649,6761,22578,46140
650,650,6742,25301,44414
651,651,6733,30195,67663
652,652,6733,25416,29927
653,653,6723,28578,51431
654,654,6723,21848,32417
655,655,6704,23476,51262
656,656,6685,25009,62099
657,657,6675,21660,50903
658,658,6656,22620,36265
659,659,6656,26637,53686
660,660,6647,28390,58600
661,661,6647,28390,59071
662,662,6647,28964,45357
663,663,6628,24634,59769
664,664,6628,27054,63580
665,665,6628,33721,48243
666,666,6608,24581,46565
667,667,6608,22224,57213
668,668,6608,31186,67239
669,669,6589,19521,44518
670,670,6580,26773,64230
671,671,6541,27513,53016
672,672,6532,18634,24777
673,673,6532,15911,34096
674,674,6513,31395,70229
675,675,6503,26115,56836
676,676,6503,18874,21552
677,677,6494,34786,75454
678,678,6484,18415,38331
679,679,6475,18061,39632
680,680,6465,22297,43141
681,681,6455,23549,36095
682,682,6427,23110,25975
683,683,6408,23789,70983
684,684,6408,28212,64211
685,685,6408,35182,80179
686,686,6388,23549,37303
687,687,6360,20158,35850
688,688,6350,17601,50290
689,689,6350,29850,87376
690,690,6350,29464,59779
691,691,6341,21994,43707
692,692,6341,22495,40113
693,693,6322,13866,30964
694,694,6322,32271,60684
695,695,6312,20356,34850
696,696,6302,22443,48413
697,697,6264,22714,40198
698,698,6264,21149,38717
699,699,6255,22130,42245
700,700,6245,33513,71285
701,701,6235,29965,60175
702,702,6235,21086,54251
703,703,6235,19417,32408
704,704,6226,17351,20052
705,705,6226,30873,65390
706,706,6226,18739,33794
707,707,6226,33116,56345
708,708,6226,24164,52441
709,709,6216,19135,43433
710,710,6216,15296,43330
711,711,6216,24435,63363
712,712,6188,21952,47253
713,713,6188,20825,47366
714,714,6188,20940,41764
715,715,6178,28233,53101
716,716,6168,26877,59854
717,717,6159,15776,22995
718,718,6140,22912,44197
719,719,6130,17601,42047
720,720,6130,20658,51771
721,721,6102,31165,83518
722,722,6102,35923,88451
723,723,6092,24644,57609
724,724,6092,21504,28239
725,725,6082,30758,68965
726,726,6054,23371,38255
727,727,6054,28598,56515
728,728,6054,22589,45442
729,729,6044,18958,37491
730,730,6044,18780,51186
731,731,6025,23121,42716
732,732,6015,22474,42518
733,733,6015,21326,28248
734,734,6006,19792,34794
735,735,5996,18968,42792
736,736,5968,19688,24381
737,737,5968,17142,39293
738,738,5958,19125,39095
739,739,5958,19949,36633
740,740,5949,27701,54119
741,741,5929,24894,50828
742,742,5920,22192,38510
743,743,5920,21702,41311
744,744,5901,20919,41038
745,745,5882,27044,63231
746,746,5882,26480,58194
747,747,5882,18217,47338
748,748,5862,27878,63513
749,749,5843,25583,53318
750,750,5843,22683,38821
751,751,5824,21431,36501
752,752,5805,23340,51214
753,753,5767,26595,38104
754,754,5757,18551,45103
755,755,5748,17768,20684
756,756,5738,24143,57241
757,757,5738,23163,50762
758,758,5700,9641,21835
759,759,5690,30174,63598
760,760,5690,21222,43735
761,761,5690,24248,48479
762,762,5671,19688,45027
763,763,5671,23757,46499
764,764,5671,17549,32606
